category;description;amount
communication;Vodafone line;-13.0
communication;Orange line;-16.0
communication;Inexio;49.95
convenience goods;drugstore;-30.0
convenience goods;DM;-500.0
convenience goods;food;-600.0
housing;bank loan;645.96
housing;running cost;287.0
income;salary 1;3200.0
income;Kindergeld;299.0
income;investement income;0.0
income;food voucher;80.0
income;extra salary 2;0.0
income;salary 2;2050.0
income;extra salary 1;0.0
insurance;Envivas + Gothaer;
insurance;AXA Easy Versicherung;-20.0
insurance;CONTINENTALE/EUROPA VERBUND;
leisure;Deezer;15.0
leisure;Saarländischer Rundfunk;18.36
leisure;holidays;-300.0
mobility;Divers voiture;-40.0
mobility;service Polo;-50.0
mobility;Diesel;-200.0
mobility;Kfz-Steuer Polo;-25.0
mobility;Kfz-Steuer V40;-10.0
mobility;Essence;-160.0
mobility;service V40;-50.0
other;hairdresser;-20.0
other;gifts;-100.0
other;donation;-113.0
income;neighbors;40.0
housing;garbage;19.0
